"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WESD"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-04","0.12","1.9",,"31","26","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-05","0.00","0.0",,"34","25","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-06","0.00","0.0",,"36","29","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-07","0.00","0.0",,"31","20","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-08","0.00","0.0",,"33","19","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-09","0.63","8.6",,"37","26","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-10","0.00","0.0",,"36","28","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-11","0.00","0.0",,"41","27","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-12","0.00","0.0",,"40","26","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-13","0.00","0.0",,"26","13","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-14","0.00","0.0",,"25","10","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-15","0.00","0.0",,"31","13","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-16","0.84","0.0",,"48","30","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-17","0.00","0.0",,"39","32","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-18","0.00","0.0",,"36","29","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2005-12-19","0.00","0.0",,"34","25","0.0"
